
Total incentives compiled: 89

Comprehensive List of Energy Incentives and Grants (NYC/NYS/Westchester):
| Program Name                                                                  | Provider                                         | Level      | Amount Available                          | Deadline/Status         | Qualifying Projects Tags                                                      | Key Requirements                           |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Job creation metrics                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Minimum energy savings target            |
| Con Edison Managed Charging for EVs                                           | Con Edison                                       | Utility    | Off-peak charging                         | Ongoing                 | EV Charging, Load Management, Grid Optimization                               | * Detailed energy audit                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Minimum energy savings target            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Third-party verification required        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * System sizing limits                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Job creation metrics                     |
| National Grid Custom Solutions Program                                        | National Grid                                    | Utility    | Negotiated incentives for unique projects | Ongoing                 | New Technology, Process Improvements, Whole Building                          | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Public benefit test                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * System sizing limits                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Detailed energy audit                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Job creation metrics                     |
| Con Edison Grid Modernization & Resiliency                                    | Con Edison                                       | Utility    | Investment in grid upgrades               | Ongoing                 | DER Integration, Smart Grid Technology, Grid Resilience                       | * Detailed energy audit                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Public benefit test                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
| NYSEG/RG&E Multifamily Affordable Housing Program                             | NYSEG/RG&E                                       | Utility    | Enhanced rebates per unit                 | Ongoing                 | Building Systems, Energy Efficiency                                           | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
| Orange & Rockland CHP and Fuel Cell Incentives                                | Orange & Rockland                                | Utility    | Up to 50% project cost                    | Ongoing                 | Fuel Cells, Combined Heat & Power                                             | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
| National Grid Net Metering Program                                            | National Grid                                    | Utility    | Bill credits for excess generation        | Ongoing                 | Solar PV, Wind                                                                | * System sizing limits                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Third-party verification required        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Detailed energy audit                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Job creation metrics                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Public benefit test                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Minimum energy savings target            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
| Con Edison Commercial HVAC Rebates                                            | Con Edison                                       | Utility    | Prescriptive rebates for equipment        | Ongoing                 | Heat Pumps, HVAC Upgrades                                                     | * Job creation metrics                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Public benefit test                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * System sizing limits                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Minimum energy savings target            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Third-party verification required        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
| NYSEG/RG&E Smart EV Charging Pilot                                            | NYSEG/RG&E                                       | Utility    | Time-of-use rates                         | Ongoing                 | EV Charging, Load Shifting                                                    | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Minimum energy savings target            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Job creation metrics                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * System sizing limits                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Third-party verification required        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Public benefit test                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Detailed energy audit                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
| Orange & Rockland Residential Weatherization                                  | Orange & Rockland                                | Utility    | Home energy audits                        | Ongoing                 | Insulation, Weatherization                                                    | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Third-party verification required        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
| ClimateWorks Foundation Grants                                                | ClimateWorks Foundation                          | Foundation | Multi-million dollar grants               | Rolling basis           | Policy Research, Carbon Neutrality, Climate Philanthropy                      | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Third-party verification required        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Job creation metrics                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
| NYC Environmental Fund Grants                                                 | NYC Environmental Fund                           | Foundation | Project-specific grants                   | Annual FOA              | Urban Green Spaces, Environmental Education                                   | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Minimum energy savings target            |
